cedula,nombre,totalCompradoAnual,puntos
1455644812,Michael Ramos,332.89,332
1435864168,Luis Posso,298.15,298
1725483920,Juan Perez,349.28,349
1918273645,Ana Gomez,319.87,319
1104857392,Carlos Mendoza,276.41,319
1829405837,Maria Belen Rodriguez,316.02,316
1703849501,Luis Fernando Plaza,272.63,272
1204958372,Diana Carolina Castro,321.43,321
1503928471,Jorge Cevallos,300.59,300
1928374615,Elena Patricia Romero,311.71,311
1718293847,Pedro Jose Altamirano,282.85,282
1104857382,Lucia Fernanda Moreira,276.63,276
1603948571,Ricardo Andres Villalba,309.64,309
1314958273,Sofia Alexandra Torres,288.0,288
1203948572,Manuel Antonio Espinoza,311.09,311
1919283746,Gabriela Michelle Cardenas,316.58,316
1726354412,Christian David Lopez,324.48,324
1803948571,Valeria Beatriz Nunes,323.22,323
2401958372,Santiago Javier Ortiz,323.35,323
1003948572,Andrea Estefania Gomez,326.2,326
1304958271,Francisco Xavier Vaca,310.27,310
1715263748,Paola Alejandra Chaves,336.01,336
1203948576,Roberto Carlos Mina,250.96,250
1908172635,Monica del Rocio Andrade,317.88,317
2203948571,Diego Armando Flores,324.69,324
1729384756,Camila Doménica Benitez,352.73,352
1103948577,Gustavo Adolfo Rosales,240.33,240
1501928374,Sandra Elizabeth Palacios,318.36,318
1804958277,Alex Fabian Jaramillo,340.12,340
1701928374,Martha Cecilia Crespo,300.28,300
1304958279,Wilson Geovanny Moreira,308.6,308
1921384756,Verónica Isabel Franco,270.14,270
1754829301,Alejandro Javier Mora,287.07,287
1948372610,Estefanía Belén Cabrera,321.4,321
1105432198,Carlos Eduardo Tinoco,287.72,287
1857493021,Diana Marcela Núñez,290.34,290
1504738291,Luis Alberto Chimbo,308.4,308
1309847362,Viviana Elizabeth Delgado,319.66,319
1105948372,Santiago Ismael Cabrera,291.76,291
1706543219,Valeria Sofía Espinoza,301.42,301
1206758493,Andrés Francisco Macías,301.27,301
1804758392,Paola Alejandra Quinónez,303.14,303
1004738291,Galo Humberto Benavides,302.87,302
1305847362,Silvia Patricia Cárdenas,391.31,391
1204738291,César Augusto Manzano,312.28,312
2402948371,Melanie Nicole Salinas,343.59,343
1723948571,Diego Vinicio Palacios,318.06,318
1912837465,Tatiana Marisol Guerrero,278.9,278
1104738295,Walter Geovanny Riofrío,298.75,298
1805948371,Mónica del Rocío Altamirano,287.34,287
1503847261,Franklin Omar Guanoluisa,339.29,339
1604738291,Martha Lucía Ramos,277.88,277
1315847362,Jonatan Israel Vera,304.57,304
1205948371,Karina Alexandra Ortiz,271.66,271
1923847561,Christian Xavier Lindao,365.11,365
1724958372,Verónica Beatriz Cisneros,341.09,341
1805748391,Edwin René Angulo,306.24,306
2403948572,Ángela Gabriela Borbor,266.45,266
1005948371,Wilson David Chalá,328.37,328
1306847361,Adriana Katherine Calle,265.67,265
1716948372,Patricio Leonel Falconí,307.72,307
1205748392,Johanna Michelle Burgos,234.33,234
1907483920,Ramiro Alfonso Peñafiel,284.55,284
2204958372,Gladys Noemí Villalva,319.67,319
1728495012,Bryan Alexander Terán,311.44,311
1105948372,Lissette Alexandra Vivanco,270.54,270
1502847361,Jaime Orlando Toapanta,298.24,298
1806948372,Nathaly Estefanía Mayorga,344.53,344
1702847361,Mariela de los Ángeles Romero,252.66,252
1305948372,Hugo Fernando Intriago,241.27,241
